,art,intensity_std,intensity_mean,mod_std,mod_mean,phase_life_std,phase_life_mean,mod_life_std,mod_life_mean
84,Eiche,0.03300053998827934,0.37750929594039917,0.016442541033029556,0.8947843313217163,0.06341483443975449,1.8373007774353027,0.22676807641983032,2.6444146633148193
85,Eiche,0.04649489000439644,0.2876634895801544,0.020122911781072617,0.9061457514762878,0.07376261800527573,1.6291500329971313,0.5383651256561279,2.472615957260132
86,Eiche,0.023811034858226776,0.2863599956035614,0.021099664270877838,0.8914203643798828,0.1006474494934082,1.779665470123291,0.6367127895355225,2.6940348148345947
87,Eiche,0.03717777505517006,0.31831687688827515,0.019295362755656242,0.89570552110672,0.0883970856666565,1.7475372552871704,0.5333300232887268,2.630632162094116
88,Eiche,0.04024861007928848,0.47937753796577454,0.012774084694683552,0.9169512987136841,0.06732991337776184,1.657476544380188,0.18937860429286957,2.3051998615264893
89,Eiche,0.07490206509828568,0.5579656958580017,0.01240205205976963,0.9143831133842468,0.07365228980779648,1.7709238529205322,0.18647442758083344,2.3456778526306152
90,Eiche,0.05671107769012451,0.5680071711540222,0.012084227986633778,0.9069065451622009,0.05809101462364197,1.8580979108810425,0.1775437295436859,2.4621739387512207
91,Eiche,0.04082903265953064,0.5265481472015381,0.011704346165060997,0.9078046083450317,0.060485098510980606,1.8329888582229614,0.1713150441646576,2.448594093322754
92,Eiche,0.05174301937222481,0.49043992161750793,0.012929524295032024,0.9084928631782532,0.06517642736434937,1.7987476587295532,0.18892206251621246,2.4374942779541016
93,Eiche,0.04810857027769089,0.5350293517112732,0.012546549551188946,0.9194982647895813,0.05006416514515877,1.685921549797058,0.19009292125701904,2.2644307613372803
94,Eiche,0.031066158786416054,0.4040466248989105,0.014037046581506729,0.9137839078903198,0.0647205263376236,1.7022777795791626,0.20259703695774078,2.354950189590454
95,Eiche,0.06646227091550827,0.6525936126708984,0.011809425428509712,0.9095962643623352,0.056673672050237656,1.860939621925354,0.17741714417934418,2.420595645904541
96,Eiche,0.06566251069307327,0.45070648193359375,0.014289258047938347,0.9209024906158447,0.07405281811952591,1.618315577507019,0.21524517238140106,2.2409701347351074
97,Eiche,0.04366426542401314,0.4765496850013733,0.013278823345899582,0.9227097034454346,0.06816157698631287,1.6054900884628296,0.19997307658195496,2.212331771850586
98,Eiche,0.050761960446834564,0.4901844263076782,0.01305223535746336,0.930943489074707,0.05495121702551842,1.5336699485778809,0.20394772291183472,2.075996160507202
99,Eiche,0.05131248012185097,0.4341040551662445,0.01338975690305233,0.9135408401489258,0.0800725594162941,1.7011653184890747,0.19454321265220642,2.3589529991149902
100,Eiche,0.04717344790697098,0.4181568920612335,0.013540034182369709,0.9102141857147217,0.07179883122444153,1.718888759613037,0.19404102861881256,2.4109342098236084
101,Eiche,0.03769726678729057,0.42155253887176514,0.013985966332256794,0.9135710597038269,0.07110325247049332,1.6935023069381714,0.20217818021774292,2.3582115173339844
102,Eiche,0.04009464383125305,0.4647251069545746,0.013056873343884945,0.9112812280654907,0.07047908008098602,1.7521662712097168,0.19035495817661285,2.394298553466797
103,Eiche,0.04929431900382042,0.5302656888961792,0.012452112510800362,0.9104331135749817,0.05894805118441582,1.7911847829818726,0.18378621339797974,2.407560348510742
