,art,intensity_std,intensity_mean,mod_std,mod_mean
139,Eiche,0.022571375593543053,0.08725561201572418,3.699063777923584,3.4723494052886963
140,Eiche,0.015336401760578156,0.051859959959983826,7.965043544769287,3.5710999965667725
141,Eiche,0.011421059258282185,0.07163248211145401,3.9373996257781982,3.1872968673706055
142,Eiche,0.009253612719476223,0.04973170533776283,6.545251369476318,3.5281360149383545
143,Eiche,0.014461816288530827,0.059392258524894714,5.445112228393555,3.349702835083008
144,Eiche,0.014589108526706696,0.068021759390831,4.596035480499268,3.272714138031006
145,Eiche,0.011245789006352425,0.10216854512691498,2.612467050552368,3.2522692680358887
146,Eiche,0.010516871698200703,0.09300681203603745,2.80802845954895,3.114741086959839
147,Eiche,0.009350036270916462,0.04108967259526253,8.450057983398438,3.782721996307373
148,Eiche,0.01438804529607296,0.08511200547218323,3.1884446144104004,3.3138253688812256
149,Eiche,0.00910208374261856,0.06762972474098206,4.342970848083496,3.00469970703125
150,Eiche,0.009957816451787949,0.06136363744735718,4.898993968963623,3.5014402866363525
151,Eiche,0.010911981575191021,0.05956176295876503,5.261543273925781,3.5329935550689697
152,Eiche,0.009778504259884357,0.06390954554080963,4.862663269042969,3.4305779933929443
153,Eiche,0.018993113189935684,0.052704643458127975,7.760597229003906,3.598144054412842
154,Eiche,0.02059595100581646,0.07225538045167923,5.3640007972717285,3.296373128890991
155,Eiche,0.016870755702257156,0.07846150547266006,3.7284023761749268,3.6164608001708984
